"","FC"
"KEAP1",0.825401406714202
"NFE2L2",0.404473929134669
"ATM",0.610072366290517
"CHEK2",0.971593232447581
"TP53",1.22805360322899
"MDM2",0.718480293611986
"PPM1D",1.35552430332633
"CDKN1A",0.872530303774428
"Mafmed",0.48940843500828
"Rmed",0.924793890080576
