"","FC"
"KEAP1",0.408916440535085
"NFE2L2",0.769036469442559
"ATM",0.318912723106829
"CHEK2",0.356406309395558
"TP53",0.972230251014653
"MDM2",1.13068388259194
"PPM1D",1.41190787954914
"CDKN1A",3.37872755926499
"Mafmed",1.01529758924281
"Rmed",2.24075173154594
