"","FC"
"KEAP1",0.387432694492492
"NFE2L2",0.25116070553905
"ATM",0.520179739807028
"CHEK2",1.04687313341699
"TP53",1.01706923296524
"MDM2",1.03934961812562
"PPM1D",1.16020669693684
"CDKN1A",1.2262135921943
"Mafmed",0.798781077460366
"Rmed",1.19575389271196
